planetlab3.CS.Berkeley.EDU	128.32.44.53
PlanetLab3.Millennium.Berkeley.EDU	169.229.51.252
planetlab4.CS.Berkeley.EDU	128.32.44.54
planetlab4.Millennium.Berkeley.EDU	169.229.50.82
planetlab5.CS.Berkeley.EDU	128.32.44.55
planetlab5.Millennium.Berkeley.EDU	169.229.50.83
planetlab6.CS.Berkeley.EDU	128.32.44.56
planetlab6.Millennium.Berkeley.EDU	169.229.50.84
planetlab7.Millennium.Berkeley.EDU	169.229.50.85
planetlab8.Millennium.Berkeley.EDU	169.229.50.86
planetlab9.Millennium.Berkeley.EDU	169.229.50.87
planetlab1.cs.ucla.edu	131.179.112.70
planetlab1.ucsd.edu	132.239.17.224
planetlab2.ucsd.edu	132.239.17.225
planetlab3.ucsd.edu	132.239.17.226
planet1.cs.ucsb.edu	128.111.52.61
planet2.cs.ucsb.edu	128.111.52.62
planetslug1.cse.ucsc.edu	128.114.63.14
planetslug2.cse.ucsc.edu	128.114.63.15
planetslug3.cse.ucsc.edu	128.114.63.16
planetlab1.cs.umass.edu	128.119.247.210
planetlab2.cs.umass.edu	128.119.247.211
planetlab2.cs.unc.edu	152.2.130.67
planetlab1.pop-mg.rnp.br	200.19.159.34
planetlab2.pop-mg.rnp.br	200.19.159.35
planetlab1.ac.upc.es	147.83.30.166
planetlab2.ac.upc.es	147.83.30.168
planetlab1.info.ucl.ac.be	130.104.229.228
planetlab2.info.ucl.ac.be	130.104.229.229
planetlab1.enel.ucalgary.ca	136.159.101.10
planetlab2.enel.ucalgary.ca	136.159.101.11
planetlab1.ece.ucdavis.edu	169.237.79.210
planetlab2.ece.ucdavis.edu	169.237.79.211
planetlab1.cs.uchicago.edu	128.135.11.149
planetlab2.cs.uchicago.edu	128.135.11.151
planetlab3.cs.uchicago.edu	128.135.11.152
itchy.cs.uga.edu	128.192.101.217
scratchy.cs.uga.edu	128.192.101.218
planetlab1.cs.uiuc.edu	192.17.239.250
planetlab2.cs.uiuc.edu	192.17.239.251
planetlab1.cs.umd.edu	128.8.126.12
planetlab2.cs.umd.edu	128.8.126.69
planetlab1.unl.edu	129.93.68.56
planetlab2.unl.edu	129.93.68.55
planetlab1.cs.unb.ca	131.202.240.222
planetlab2.cs.unb.ca	131.202.240.223
pl1.unm.edu	64.106.75.147
pl2.unm.edu	64.106.75.146
pl3.unm.edu	64.106.75.148
planetlab1.cse.nd.edu	129.74.50.140
planetlab2.cse.nd.edu	129.74.50.141
planetlab1.cs.uoregon.edu	128.223.6.111
planetlab2.cs.uoregon.edu	128.223.6.112
planetlab3.cs.uoregon.edu	128.223.6.113
aladdin.planetlab.extranet.uni-passau.de	195.37.16.97
dschinni.planetlab.extranet.uni-passau.de	195.37.16.101
planet1.cs.rochester.edu	128.151.65.101
planet2.cs.rochester.edu	128.151.65.102
planetlab1.rn.informatics.scitech.sussex.ac.uk	139.184.48.55
pl1.ece.toronto.edu	128.100.241.35
pl2.ece.toronto.edu	128.100.241.68
freedom.ri.uni-tuebingen.de	134.2.205.228
peace.ri.uni-tuebingen.de	134.2.205.227
planetlab1.cs.virginia.edu	128.143.137.249
planetlab2.cs.virginia.edu	128.143.137.250
planetlab01.cs.washington.edu	128.208.4.197
planetlab02.cs.washington.edu	128.208.4.198
planetlab03.cs.washington.edu	128.208.4.199
planetlab1.it.uts.edu.au	138.25.15.194
planetlab2.it.uts.edu.au	138.25.15.195
planetlab1.csres.utexas.edu	128.83.143.152
planetlab2.csres.utexas.edu	128.83.143.153
planetlab3.csres.utexas.edu	128.83.143.154
planetlab1.cis.upenn.edu	158.130.6.254
planetlab2.cis.upenn.edu	158.130.6.253
